ecoregion_name,ecoregion_description,ecoregion_id
SVERDRUP ISLANDS LOWLAND,"This ecoregion, associated with the Sverdrup Islands group (Prince Patrick, Mackenzie King, Ellef Ringnes, and Amund Ringnes islands and several smaller islands), is characterized by low relief and sparse vegetative cover. The mean annual temperature is approximately -18°C, with a summer mean of -1.5°C and a winter mean of -32°C. The mean annual precipitation ranges about 100-150 mm, however, the northern fringes of the ecoregion may receive less than 100 mm of precipitation annually. This ecoregion is classified as having a high arctic ecoclimate. Mosses, lichens, and cold-hardy vascular plants such as sedge and cottongrass are the dominant vegetation. Arctic willow and Dryas spp. occur infrequently. The Sverdrup Islands Lowland ecoregion is developed on generally soft, poorly consolidated, and little-deformed Mesozoic rocks. Its surface is a rolling, scarped lowland less than 150 m asl. Local areas of low uplands and dissected plateaus reach 365 m asl; elsewhere, extensive areas of plain, lying only a few metres above sea level, have distinctive dissected domes and ring structures developed on gypsum anhydrite and igneous intrusions. Regosolic Static and Orthic Turbic Cryosols are the dominant soils that have developed on colluvial, alluvial, morainal, and marine deposits, and are intermixed with areas of exposed bedrock. The entire ecoregion is underlain by deep, continuous permafrost with medium ice content, consisting of abundant ice wedges. The exception is the permafrost on Ellef Ringnes Island, and the northwest coastline of Prince Patrick Island, which may have high ice content. Characteristic wildlife includes muskox, arctic hare, arctic fox, caribou, seal, polar bear, ptarmigan, and king eider. The region has high hydrocarbon potential, including some producing wells.",11
PARRY ISLANDS PLATEAU,"This ecoregion incorporates the Parry Islands Group (southern Melville, Bathurst, and Cornwallis islands and several smaller islands). The mean annual temperature is approximately -17.5°C with a summer mean of -1.5°C and a winter mean of -31°C. The mean annual precipitation ranges 100-150 mm. This ecoregion is classified as having a high arctic ecoclimate. It has a sparse and discontinuous vegetative cover of moss, along with mixed low-growing herbs and shrubs such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. The terrain of this plateau is strongly ridged. The ridges, composed of gently curving folds of Palaeozoic carbonates, shales, and sandstones, are broad, flat-topped, and straight-sided. Their elevations average less than 250 m asl. Separate, flat-floored, longitudinal valleys are transected by rugged, ravinelike cross valleys. On Melville Island, a few hills reach 760 m asl, and cliff-walled fjordlike bays and straits cut deeply into the uplifted plateau. Turbic Cryosols with Static Cryosols are the dominant soils that have developed on morainal and colluvial deposits. This ecoregion is underlain by deep, continuous permafrost with medium ice content, and abundant ice wedges. The exception is the permafrost on the southern tip of Melville Island which has high ice content.  Characteristic wildlife includes muskox, caribou, arctic hare, arctic fox, polar bear, seal, whale, seabirds, and waterfowl. The main land use activities include trapping, fishing, and tourism. Other activities include mining, and the Polaris lead-zinc mine on Little Cornwallis Island is the most northerly mine in the world. The largest settlement in the region is Resolute, located on the southern shore of Cornwallis Island. The population of the ecoregion is approximately 200.",12
LANCASTER PLATEAU,"This high arctic ecoregion is associated with southeastern Ellesmere Island, Devon Island, northern Somerset Island, and the Brodeur Peninsula of northwestern Baffin Island. The mean annual temperature is approximately -13°C with a summer mean of 2°C and a winter mean of -26.5°C. The mean annual precipitation ranges 100-200 mm. This ecoregion has a sparse vegetative cover of moss, and mixed low-growing herbs and shrubs such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. The Lancaster Plateau, as part of the Arctic Lowlands, is formed on flat-lying Palaeozoic and late Proterozoic sedimentary rocks and slopes gently southward, ranging about 300-765 m asl. Exposed bedrock is common. Regosolic Turbic and Regosolic Static Cryosols are dominant soils that have developed on colluvial, alluvial, morainal, and marine sediments. Permafrost is deep and continuous with medium ice content. Permafrost in the northwest quarter of Devon Island has less ground ice, composed of occasional occurrences of massive ice bodies. Characteristic wildlife includes caribou, muskox, arctic fox, polar bear, arctic hare, lemming, gyrfalcon, jaeger, snowy owl, ptarmigan, seabirds, and waterfowl. Marine fauna includes the walrus, seal, whale, and narwhal. Land uses in this ecoregion include trapping, hunting, and fishing. There is also a high hydrocarbon potential. The largest settlement is Grise Fiord, the most northerly community in Canada. The population of the ecoregion is approximately 200.",13
BANKS ISLAND COASTAL PLAIN,"This ecoregion is located adjacent to the Beaufort Sea on the western coastal plain of Banks Island in the western Arctic. The mean annual temperature is approximately -14°C with a summer mean of 1°C and a winter mean of -29°C. The mean annual precipitation ranges 100-200 mm. This ecoregion's temperatures are moderated by open water during the late summer and early fall, and it is classified as having a low arctic ecoclimate. Vegetation consists of moss, and mixed low-growing herbs and shrubs such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. This unglaciated coastal plain is underlain by unconsolidated Tertiary or early Pleistocene sands and gravel. It is characterized by low, rolling hills and well-organized drainage. Alluvial plains and low, westward-sloping terraces bordering major stream valleys exhibit several stages of erosion and uplift. Turbic Cryosols with Static Cryosols are the dominant soils, and have developed on a variety of smooth, undulating deposits. The deep, continuous permafrost has high ice content with abundant ice wedges. Wetlands cover 25-50% of this ecoregion, and are characterized either by horizontal fens and low-centre lowland polygon fens with small, elevated peat mound bogs, or by marshes along the coast and shallow waters. Characteristic wildlife includes muskox, caribou, arctic hare, arctic fox, snowy owl, raptors, polar bear, seal, walrus, whale, seabirds, and waterfowl. Land uses in this ecoregion include trapping, hunting, and fishing. The largest settlement is Sachs Harbour. The population of the ecoregion is approximately 200.",14
BANKS ISLAND LOWLAND,"This ecoregion occurs on central Banks Island and has a vegetative cover of moss, and mixed low-growing herbs and shrubs such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. The mean annual temperature is approximately -16°C with a summer mean of 2°C and a winter mean of -30°C. The mean annual precipitation ranges 100-200 mm. This ecoregion is classified as having a mid-arctic ecoclimate. The terrain of this lowland slopes gently to the southwest and south and is composed of late Proterozoic stratified rocks intruded by gabbro sills that form plateaus capped with flat-lying volcanic rocks. Turbic Cryosols are the dominant soils, and have developed on a variety of smooth, undulating glacial deposits. Permafrost is deep and continuous with high ice content, and abundant ice wedges. Areas of drumlinoid ridges occur on the eastern side of Banks Island; the remainder of the island is largely unglaciated. Wetlands extend over much of the ecoregion, and are characteristically horizontal and low-centre lowland polygon fens with small, elevated peat mound bogs. Marshes are common along the coast and in shallow waters associated with low-lying areas. Characteristic wildlife includes muskox, caribou, arctic hare, arctic fox, snowy owl, raptors, polar bear, seal, whale, seabirds, and waterfowl. Land uses include trapping, hunting, and fishing.",15
AMUNDSEN GULF LOWLANDS,"This ecoregion occurs predominantly on southern Victoria Island and to a minor extent on the mainland. The mean annual temperature is approximately -14°C with a summer mean of 2°C and a winter mean of -28.5°C. The mean annual precipitation ranges 100-200 mm. This ecoregion is classified as having a low arctic ecoclimate. It is characterized by a nearly continuous cover of dwarf tundra vegetation, consisting of dwarf birch, willow, northern Labrador tea, Dryas spp., and Vaccinium spp. Tall dwarf birch, willow, and alder occur on warm sites; wet sites are dominated by willow and sedge. The terrain of the southern one-third of Victoria Island generally slopes gently to the southwest and is composed of stratified Palaeozoic carbonate rocks. Extensive areas of drumlinoid ridges impart a characteristic grain to the minor topography on the island. Turbic Cryosols are the dominant soils, and have developed on a variety of smooth, undulating glacial deposits. Deep, continuous permafrost with high ice content and abundant ice wedges are characteristic, although an area with continuous low ice content permafrost runs along the coast between Minto Inlet and Prince Albert Sound, west of the Shaler Mountains ecoregion. Characteristic wildlife includes muskox, caribou, arctic hare, arctic fox, snowy owl, raptors, polar bear, seal, seabirds, and waterfowl. Land uses include trapping, hunting, and fishing. Cambridge Bay and Holman are the largest settlements. The population of the ecoregion is approximately 1500.",16
SHALER MOUNTAINS,"This ecoregion covers the Shaler Mountains in central Victoria Island and is characterized by a 40-60% vegetative cover mixed with exposed bedrock materials. The mean annual temperature is approximately -15.5°C with a summer mean of 1°C and a winter mean of -29.5°C. The mean annual precipitation ranges 100-200 mm. This ecoregion is classified as having a mid-arctic ecoclimate. Tundra vegetation includes purple saxifrage, Dryas spp., and arctic willow, along with alpine foxtail, wood rush, and other saxifrage. Wet areas have a continuous cover of sedge, cottongrass, saxifrage, and moss. The Shaler Mountains dissect Victoria Island and are composed of late Proterozoic stratified rocks intruded by gabbro sills that form cuestas and are capped by flat-lying volcanic rocks. The centre part of the mountains reaches about 760 m asl. Turbic Cryosols are the dominant soils, developed on undulating to steeply sloping glacial deposits, and some bare bedrock is apparent. Continuous, low ice content permafrost occurs throughout the ecoregion. Characteristic wildlife includes caribou, polar bear, muskox, arctic hare, arctic fox, snowy owl, other raptors, seal, whale, walrus, seabirds, and waterfowl. Land uses are limited to trapping and hunting.",17
VICTORIA ISLAND LOWLANDS,"This ecoregion includes the northern two-thirds of Victoria Island, the southwestern portion of Prince of Wales Island, King William Island, and a small portion of the western side of Boothia Peninsula. This ecoregion is classified as having a mid-arctic ecoclimate. The mean annual temperature is approximately -14°C with a summer mean of 1.5°C and a winter mean of -29°C. The mean annual precipitation ranges 100-150 mm. This ecoregion is characterized by a discontinuous upland vegetative cover dominated by purple saxifrage, Dryas spp., and arctic willow, along with alpine foxtail, wood rush, and other saxifrage.  Wet areas have a continuous cover of sedge, cottongrass, saxifrage, and moss. Remaining upland areas are largely devoid of vegetation, a distinguishing characteristic of this ecoregion. Smooth, undulating lowlands are formed on flat-lying Palaeozoic and late Proterozoic carbonate rocks that slope gently to the south and southwest. Extensive areas of drumlinoid ridges impart a characteristic grain to the minor topography on this ancient erosion surface. Elevations lie predominantly below 100 m asl, except in central Victoria Island where elevations rise up to over 200 m asl. This ecoregion is underlain by continuous permafrost with medium to high ice content in the form of ice wedge polygons and massive ice bodies. Turbic Cryosols with Static Cryosols are dominant soils and have developed on a variety of smooth, undulating glacial deposits. Wetland areas are distributed mainly along the east coast of Victoria Island along M'Clintock Channel. These are composed of marshes, horizontal fens and low-centre lowland polygon fens with small, elevated peat mound bogs. Characteristic wildlife includes caribou, muskox, polar bear, arctic hare, arctic fox, snowy owl, other raptors, seal, whale, seabirds, and waterfowl. Land uses in the ecoregion include trapping, hunting, fishing and tourism. The largest settlements are Gjoa Haven on King William Island, and Spence Bay on the Boothia Peninsula. The population of the ecoregion is approximately 1400.",18
PRINCE OF WALES ISLAND LOWLAND,"This ecoregion occupies the north half of Prince of Wales Island and has a very sparse vegetative cover of moss, and mixed low-growing herbs and shrubs such as purple saxifrage, Dryas spp., arctic willow, kobresia, sedge, and arctic poppy. The mean annual temperature is approximately -15.5°C with a summer mean of 1°C and a winter mean of -30.5°C. The mean annual precipitation ranges 100-150 mm. This ecoregion is classified as having a high arctic ecoclimate. The terrain of this lowland slopes gently to the southwest and is composed of stratified Palaeozoic carbonate rocks. Extensive areas of drumlinoid ridges impart a characteristic grain to the minor topography on the island. Turbic Cryosols are the dominant soils, and have developed on a variety of smooth, undulating glacial deposits. Continuous permafrost with a high ice content and abundant ice wedges are characteristic. Wildlife includes muskox, caribou, arctic hare, arctic fox, snowy owl, other raptors, polar bear, seal, whale, seabirds, and waterfowl.",19
BOOTHIA PENINSULA PLATEAU,"This ecoregion covers uplands on Boothia Peninsula and southern Somerset Island. The mean annual temperature is approximately -12.5°C with a summer mean of 4°C and a winter mean of -28°C. The mean annual precipitation ranges from 100 mm to more than 200 mm with the higher values occurring on the central Boothia Plain. This ecoregion is classified as having a mid-arctic ecoclimate. Vegetation is discontinuous, and dominated by such tundra species as purple saxifrage, Dryas spp., and arctic willow, along with alpine foxtail, wood rush, and other saxifrage. Wet areas have a continuous cover of sedge, cottongrass, saxifrage, and moss. The ecoregion is underlain by crystalline gneiss forming a narrow north-trending prong of the Precambrian Shield, partly covered by outliers of Palaeozoic strata. In the south, it merges with Wager Plateau at about 760 m asl, which slopes gently northward. Bedrock outcroppings are common, and Turbic Cryosols developed on hummocky, thin, discontinuous  sandy moraine are the dominant soils in the ecoregion. Permafrost is continuous and of low ice content. Characteristic wildlife includes caribou, muskox, arctic hare, arctic fox, snowy owl, other raptors, polar bear, seal, walrus, whale, seabirds, and waterfowl. Land uses include trapping, hunting, and fishing.",20
GULF OF BOOTHIA PLAIN,"This mid-arctic ecoregion covers the lowland coastal fringes of Somerset Island, Wales Island and the Boothia, Simpson, and Brodeur peninsulas surrounding the Gulf of Boothia. The mean annual temperature is approximately -15°C with a summer mean of 0.5°C and a winter mean of -29°C. The mean annual precipitation ranges 100-200 mm. This ecoregion is classified as having a mid-arctic ecoclimate. It is characterized by discontinuous upland tundra vegetation, dominated by purple saxifrage, Dryas spp., and arctic willow, along with alpine foxtail, wood rush, and saxifrage. Wet areas have a continuous cover of sedge, cottongrass, saxifrage, and moss. The region slopes gently southward, ranging from sea level to about 300 m asl.  Its general uniformity from southern Somerset Island to Wales Island is continuous across the wide Gulf of Boothia. Regosolic Turbic Cryosols with Regosolic Static Cryosols are dominant soils that have developed on morainal and marine sediments. Permafrost is continuous with medium ice content and abundant ice wedges. Characteristic wildlife includes caribou, polar bear, muskox, arctic fox, ptarmigan, seabirds, seal, whale, and walrus. Land uses include trapping, hunting, and fishing. The main settlement is Pelly Bay, and the population of the ecoregion is approximately 400.",21
